,name,country,age,hand,BuenosAires(2019/03),Cali(2019/05),Paris(2019/05),Tokyo(2019/06),Dusseldorf(2019/06),Bamako(2019/06),Toronto(2019/06),Budapest(2019/07),SA_A,SA_B,SA_C,SA_D,SA_E,SA_F,SA_G,SA_H,SA_I,Berne(2019/11),Heidenheim(2020/01),Doha(2020/01),Vancouver(2020/02),Budapest(2020/03),total
38,BERAN Jiri,CZE,,,4,1.5,1,,30,,,5,,,,,,,,,,2,-0.25,1.5,-0.25,-0.75,45
39,VISMARA Federico,ITA,23,R,-0.5,21,8,,,,,,,,,,,4,,,,-2,8,-0.75,-0.5,3,44
40,REYTOR VENET Yunior,CUB,32,R,1,1.5,0.5,,,,30,5,,,,,,,,,,-0.25,2,0.75,,,40.75
41,ANDRASFI Tibor,HUN,,,,,-0.25,,21,,,,,,,,,,,,,14,1,1.5,0.25,3,40.75
42,ELSAYED Ahmed,EGY,,,,,8,,,30,,1.25,,,,,,0,,,,0.25,1,,,,40.5
43,STANKEVYCH Volodymyr,UKR,25,R,,6,-1,,12,,,2.5,,,,,,,,,,2,-1,3,2,12,39.5
44,MOHSEN Mahmoud,EGY,25,L,,,0.25,,,30,,2.5,,,,,,,,,,0,2,,0,3,37.75
45,LUGONES RUGGERI Jesus Andres,ARG,28,R,8,3,-1,,,,12,1.25,,,,,,,0,,-2,8,-1,3,2,-0.375,37.25
46,KAULL James,USA,,,1,6,-0.25,,,,21,5,,,,,,,,,,2,-0.25,0.75,-0.25,0.75,36.5
47,ANOKHIN Vadim,RUS,28,R,4,,-0.25,,,,,,,,,,,,3,,,26,2,-0.375,1,-0.75,36
48,JURKA Jakub,CZE,21,L,,12,-0.25,,6,,,10,,,,,,,,,,1,-0.5,3,2,1.5,35.5
49,ALIMZHANOV Elmir,KAZ,34,R,2,,1,12,,,,2.5,,4,,,,,,,,-0.25,-0.5,1.5,-0.5,12,35
50,CANNONE Romain,FRA,23,R,4,3,-0.5,,3,,,10,,,,,,,,,,8,-0.5,3,4,0,35
51,DOMINGUEZ Jose Felix,ARG,,,0.5,,0.25,,,,30,2.5,,,,,,,,,,0.25,0,0,1,0.375,34.875
52,HOYLE Jacob,USA,26,L,-2,3,4,,,,12,5,,,,,,,,,,-2,2,6,2,-0.375,34
53,CAPEK Martin,CZE,37,R,1,0.75,2,,0,,,10,,,,,,,,,,-0.25,14,6,-0.25,-0.375,33.75
54,KOCH Mate Tamas,HUN,21,R,,,20,,3,,,1.25,,,,,,,,,,-0.25,2,3,4,0.375,33.625
55,VON DER OSTEN Frederik,DEN,27,R,-1,-1.5,2,,3,,,20,2,,0,0,0,,,,3,-0.25,2,-0.375,-0.25,1.5,33.5
56,PRIINITS Sten,EST,32,R,-1,-3,-2,,6,,,10,,,4,3,3,,,,,-0.25,-1,-0.75,4,3,33
57,RODRIGUEZ John Edison,COL,,,0.5,12,4,,,,12,2.5,,,,,,,,,,0.5,-0.25,1.5,,0,33
58,JORGENSEN Patrick,DEN,29,R,-1,3,-1,,6,,,10,0,,0,4,0,,0,,0,4,-0.5,1.5,4,-0.75,32.5
59,LIMARDO Francisco,VEN,,,2,,0.5,,,,21,5,,,,,,,,,,2,0.25,0,,1.5,32.25
60,KWEON Youngjun,KOR,,,1,6,8,12,,,,5,,,,,,,,,,,,,,,32
61,NAGY David,HUN,21,R,,,-0.25,,,,,5,,,,,,,,,,2,0.25,21,2,0.75,31
62,ELSAYED Mohamed,EGY,17,R,,,2,,,21,,1.25,,,,,,,,,,2,0.5,,4,,30.75
63,RODNEY Adam,USA,,,2,1.5,-0.5,,,,12,10,,,,,,,,,,1,-0.25,3,1,-0.375,30.5
64,BERTA Daniel,HUN,26,L,-0.25,,0.5,,,,,,,,,,,,,,,-0.25,0.25,6,2,21,29.75
65,HO Wai Hang,HKG,24,R,,,0.5,21,,,,1.25,,,,,,,,,,1,4,0.75,0.5,-0.375,29
66,REIN Stephan,GER,,,0,12,0.5,,6,,,5,,,,,,,0,,0,4,0.5,-0.375,-0.25,0.75,28.75
67,GIANNOTTE Flavio,LUX,25,R,,6,-0.25,,12,,,5,,,,,,0,,,,2,2,0.75,,0.375,28.125
68,PETERDI Andras,HUN,32,R,,,2,,,,,,,,,,,,,,,4,0.5,,,21,27.5
69,KHODOS Sergey,RUS,,,4,,1,,6,,,2.5,,,,,,,0,,,-0.5,-0.5,12,0.5,1.5,27.5
70,NUNEZ Pablo,CHI,,,0.25,,0.25,,,,21,5,,,,,,,,,,,,,,0.375,26.875
71,SCHMIDT Richard,GER,,,14,-0.75,-1,,3,,,0.625,,,,,,,2,,-1,-0.25,2,1.5,-1,3,26.125
72,JERENT Daniel,FRA,29,R,,,,,,,,,,,,,,,,,,,0.25,21,4,0.75,26
