,name,country,age,hand,BuenosAires(2019/03),Cali(2019/05),Paris(2019/05),Tokyo(2019/06),Dusseldorf(2019/06),Bamako(2019/06),Toronto(2019/06),Budapest(2019/07),SA_A,SA_B,SA_C,SA_D,SA_E,SA_F,SA_G,SA_H,SA_I,Berne(2019/11),Heidenheim(2020/01),Doha(2020/01),Vancouver(2020/02),Budapest(2020/03),total
225,BRAUN Rico,GER,,,,1.5,-0.25,,,,,,,,,,,,,,1,0.5,-0.25,,0.5,0.75,4.25
226,PHILIPPE Arthur,FRA,,,,1.5,1,,,,,,,,,,,,,,,,,0.75,1,,4.25
227,THOMPSON Soren,USA,39,R,,,,,,,,,,,,,,,,,,,2,0.75,1,0.375,4.125
228,HUSSON Geoffroy,BEL,,,,,0.25,,3,,,,,,0,,,,,,,0.25,0.25,0,,0.375,4.125
229,TAN Weixuan,SGP,,,,,,3,,,,0,,,,,,1,,,,,,,,,4
230,KIM Myeongki,KOR,,,,,4,,,,,,,,,,,,,,,,,,,,4
231,HAYES Isaac,AUS,,,,,,3,,,,0.625,,,,,,,,,,,0.25,0,,0,3.875
232,BRATTON Benjamin,USA,,,,0.75,-0.25,,,,,,,,,,,,,,,1,,0.75,1,0.375,3.875
233,ISLAS FLYGARE Linus,SWE,,,,0.75,0.25,,,,,,,,2,0,0,,,,,0.25,0.5,,,,3.75
234,CHALOEMCHANEN Chinn...,THA,,,,,0.25,3,,,,0,,,,,,,,,,0.25,0.25,,,,3.75
235,BAUDUNOV Khasan,UZB,,,,,,,,,,0,,3,,,0,,,,,,0.25,,,0.375,3.625
236,ALFOUDARI Hassan,KUW,,,,,,3,,,,0.625,,,,0,,,,,,,,0,,,3.625
237,VORONIN Vyacheslav,TKM,,,,,,3,,,,0.625,,,,,,,,,,,,,,,3.625
238,DAGANI Elia,SUI,,,0.25,1.5,,,,,,,,,,,,0,,,,0,0.25,1.5,0,,3.5
239,GUSMAN Agustin Adolfo,ARG,,,0.25,,,,,,3,,,,,,,,,,,0.25,,,0,,3.5
240,CROOK Lachlan,AUS,,,,,0,3,,,,,,,,,,,,,,,0.5,0,,,3.5
241,POSTMA Randy,NED,,,0.25,,0.25,,3,,,,,,,,,,,,,,,,,,3.5
242,DILIBERTO Luca,ITA,,,,,,,,,,,,,,,,,,,,2,,,,1.5,3.5
243,MURAKAMI Satoki,JPN,,,1,,-0.25,,,,,,,,,,,,,,,0.25,0.5,1.5,0.25,0,3.5
244,GALPER Stanislav,ISR,,,,,1,,,,,,,,,,,,,,,1,0.25,,0.5,0.75,3.5
245,ALIYEV Kanan,AZE,,,,,0.25,,1.5,,,0.625,,0,,,,,0,,,,0.25,0.375,,0.375,3.375
246,JOHNSTON LEYER Bradley,CRC,,,0.25,0,,,,,3,,,,,,,,,,,,,,,,3.25
247,KAVVADIAS Savvas,GRE,,,,,0.5,,1.5,,,0.625,,,,,,0,,,,0.25,,,,0.375,3.25
248,CUPR Michal,CZE,,,1,0.75,,,,,,,,,,,,,,,,,,,,1.5,3.25
249,TARANENKO Yuriy,UKR,,,0.25,,2,,,,,,,,,,,,,,,0.5,0,0,,0.375,3.125
250,YOO Justin,USA,,,2,0.375,0.25,,,,,,,,,,,,,,,0.25,0.25,0,0,0,3.125
251,KWON Jaeseon,KOR,,,,,,,,,,,,,,,,,,,,0.5,0.25,1.5,0.5,0.375,3.125
252,BIELEC Maciej,POL,,,,0.75,-0.25,,,,,,,,,,1,,,,,0.5,-0.25,0.375,0,0.375,3
253,CHAKAROV Ilia,BUL,,,,,,,,,,0.625,1,,,,,,0,,,,1,,,0.375,3
254,GROSSE Arthur,NOR,,,,,,,3,,,,,,0,0,0,,,,,,,,,,3
255,WENGLARCZYK Jan,POL,,,,,,,,,,,,,,,,,,,0,2,1,,,0,3
256,PAULOUSKI Dzianis,BLR,24,L,,,,,,,,,,,,,,,0,,,1,2,,,0,3
257,AL DAWOOD Zakaria,KSA,,,,,0,3,,,,,,,0,0,0,,,,,,0,,,,3
258,ABED Faisal,KSA,,,,,0,3,,,,0,,,0,,0,,,,,,,,,,3
259,HSIEH JAROV Seraphim,CAN,,,,0.75,0.25,,,,0,0,,,,,,,,,,,,,2,,3
260,ANUPONGKUNKIT Kantap...,THA,,,,,0,3,,,,0,,,,,,,,,,0,,,,,3
265,OSMANTOUSON Marua,HUN,18,R,,,,,,,,,,,,,,,,,,,,,,3,3
272,CHAU Chak Hin Nicholas,HKG,25,R,,,,,,,,,,,,,,,0,,,0.25,,,2,0.375,2.625
