,name,country,age,hand,BuenosAires(2019/03),Cali(2019/05),Paris(2019/05),Tokyo(2019/06),Dusseldorf(2019/06),Bamako(2019/06),Toronto(2019/06),Budapest(2019/07),SA_A,SA_B,SA_C,SA_D,SA_E,SA_F,SA_G,SA_H,SA_I,Berne(2019/11),Heidenheim(2020/01),Doha(2020/01),Vancouver(2020/02),Budapest(2020/03),total,before_Heidenheim WA,before_Vancouver WA,before_Budapest GP,in_match
61,NAGY David,HUN,21.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,21.0,2.0,0.75,31.0,7.0,28.25,30.25,True
62,ELSAYED Mohamed,EGY,17.0,R,0.0,0.0,2.0,0.0,0.0,21.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,4.0,0.0,30.75,26.25,26.75,30.75,True
63,RODNEY Adam,USA,0.0,,2.0,1.5,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,30.5,26.5,29.5,30.5,False
64,BERTA Daniel,HUN,26.0,L,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,6.0,2.0,21.0,29.75,0.5,6.75,8.75,True
65,HO Wai Hang,HKG,24.0,R,0.0,0.0,0.5,21.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.75,0.5,0.0,29.0,23.75,28.5,29.0,True
66,REIN Stephan,GER,0.0,,0.0,12.0,0.5,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5,0.0,0.0,0.75,28.75,27.5,28.0,28.0,False
67,GIANNOTTE Flavio,LUX,25.0,R,0.0,6.0,0.0,0.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.75,0.0,0.375,28.125,25.0,27.75,27.75,True
68,PETERDI Andras,HUN,32.0,R,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5,0.0,0.0,21.0,27.5,6.0,6.5,6.5,True
69,KHODOS Sergey,RUS,0.0,,4.0,0.0,1.0,0.0,6.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.5,1.5,27.5,13.5,25.5,26.0,False
70,NUNEZ Pablo,CHI,0.0,,0.25,0.0,0.25,0.0,0.0,0.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,26.875,26.5,26.5,26.5,False
71,SCHMIDT Richard,GER,0.0,,14.0,0.0,0.0,0.0,3.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.5,0.0,3.0,26.125,19.625,23.125,23.125,False
72,JERENT Daniel,FRA,29.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,21.0,4.0,0.75,26.0,0.0,21.25,25.25,True
73,GUNPUT Satya,MRI,0.0,,0.0,0.75,0.0,0.0,0.0,21.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.25,0.375,25.5,24.25,24.875,25.125,False
74,HEREY Anatolii,UKR,31.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,8.0,3.0,25.0,8.0,14.0,22.0,True
75,SONG Hongjie,CHN,0.0,,0.5,0.375,0.0,12.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,0.25,0.0,24.875,22.875,24.625,24.875,False
76,HARPER Ido,ISR,0.0,,2.0,6.0,1.0,0.0,12.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,24.75,22.25,24.25,24.75,False
77,ALSHATTI Abdulaziz,KUW,0.0,,0.0,0.0,0.5,12.0,0.0,0.0,0.0,2.5,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,23.5,22.0,23.5,23.5,False
78,BUZZACCHINO Gianpaolo,ITA,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,21.0,0.0,1.5,22.75,0.25,21.25,21.25,False
79,STEFFEN Benjamin,SUI,38.0,L,2.0,0.0,1.0,0.0,1.5,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,22.5,14.5,18.5,22.5,True
80,TAGLIARIOL Matteo,ITA,37.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,21.0,22.25,0.25,1.25,1.25,True
81,BESKIN Grigori,ISR,0.0,,2.0,3.0,1.0,0.0,12.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,22.25,20.5,20.5,21.5,False
82,DI VEROLI Davide,ITA,0.0,,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0,22.0,18.0,18.0,19.0,False
83,FONG Hoi Sun,HKG,0.0,,0.0,3.0,4.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.75,0.0,0.0,21.75,21.0,21.75,21.75,False
84,NAHI Omar,MAR,0.0,,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,False
85,MALCOTTI Lucas,SUI,0.0,,1.0,3.0,2.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,20.0,19.0,19.0,20.0,False
86,GARCIA Eduardo,PER,21.0,R,0.5,6.0,0.0,0.0,0.0,0.0,6.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,19.75,15.75,15.75,19.75,True
87,MEDVEDIEV Vitalii,UKR,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.25,1.5,19.75,6.0,18.0,18.25,False
88,MA Segeon,KOR,26.0,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.375,1.0,12.0,19.375,4.0,6.375,7.375,True
89,PERSU Mario,ROU,0.0,,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.75,19.25,18.5,18.5,18.5,False
90,SHI Gaofeng,CHN,28.0,R,4.0,0.0,0.0,6.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.5,1.0,1.5,19.25,11.25,16.75,17.75,True
91,LOYOLA Neisser,BEL,22.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,1.0,3.0,19.0,1.0,15.0,16.0,True
92,NA Jongkwan,KOR,0.0,,8.0,1.5,1.0,6.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,False
93,BLAIS-BELANGER Marc-Ant...,CAN,0.0,,0.0,1.5,1.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.75,18.25,17.5,17.5,17.5,False
94,BOUZAID Alexandre,SEN,0.0,,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,1.5,18.0,16.25,16.5,16.5,False
95,AN Sung Ho,KOR,34.0,R,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,18.0,13.0,16.0,18.0,True
96,BARGUES Manuel,ESP,25.0,R,0.25,0.0,1.0,0.0,12.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0,0.0,0.0,0.0,18.0,16.0,18.0,18.0,True
97,GALLY Aymerick,FRA,0.0,,2.0,0.75,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.375,0.0,0.0,17.625,16.75,17.625,17.625,False
98,DONG Chao,CHN,32.0,R,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.75,0.5,0.375,17.625,8.0,16.75,17.25,True
99,KIM Sangmin,KOR,0.0,,0.25,12.0,0.25,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,17.5,17.5,17.5,False
100,FAVA Alex,FRA,31.0,R,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,4.0,0.0,17.5,11.0,13.5,17.5,True
101,MIDELTON Luidgi,FRA,0.0,,4.0,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,17.5,9.5,15.5,17.5,False
102,CUOMO Valerio,ITA,0.0,,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,6.0,17.5,8.0,11.0,11.5,False
103,IBANEZ Alvaro,ESP,25.0,R,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,1.0,6.0,17.375,7.625,10.375,11.375,True
104,BAYARD Alexis,SUI,24.0,L,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,0.0,17.0,5.0,15.0,17.0,True
105,ALIMOV Fayzulla,UZB,0.0,,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,6.0,17.0,10.0,11.0,11.0,False
106,ANTKIEWICZ Mateusz,POL,26.0,R,0.0,3.0,0.5,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.5,0.0,17.0,11.5,16.5,17.0,True
107,CAMARGO Alexandre,BRA,21.0,L,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,2.0,0.375,16.875,13.5,14.5,16.5,True
